rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
12,0.2272885799407959,0.04107078547772227,0.01388406753540039,0.003783241558139175,"{'LR__C': 1.2843132820202103, 'LR__class_weight': 'balanced'}",0.8694768444301086,0.003591428537997314,0.6109301627661299,0.007933580148745836,0.897872340425532,0.006029672366358855,0.46299383657907356,0.007706878045201974,0.866470664520959,0.00983382616382732,67,0.6013865450162983,0.02349218870107725,0.8819148936170211,0.03354017610730734,7,0.45649398755887505,0.020634818163535597,70
13,0.1537031650543213,0.014932932993652248,0.012422561645507812,0.0017086340287549165,"{'LR__C': 0.2822722612690963, 'LR__class_weight': 'balanced'}",0.8685967736848127,0.0034907490050888265,0.6092628959391154,0.007276604159433094,0.8976063829787234,0.004033444385133812,0.461154107365538,0.007365906680405815,0.8663489368725721,0.011001439940682494,73,0.6012851132287735,0.025197825875619733,0.8819148936170211,0.0337084670590529,7,0.4564318699552419,0.022754987656995268,72
14,0.30466246604919434,0.025840113257955804,0.015421104431152344,0.0029338958382183547,"{'LR__C': 3.0104438715421917, 'LR__class_weight': 'balanced'}",0.8696285756845509,0.0034967859879666075,0.6112766557276973,0.007571505196687434,0.8981382978723405,0.005088065550454504,0.46332159801150763,0.007498071666922604,0.8667135303375954,0.009874308025382115,57,0.6012197435355215,0.024423076727000823,0.8797872340425531,0.03489621163161007,22,0.4568494724670746,0.021016683159298045,60
14,0.2922684192657471,0.05102829074315401,0.016329288482666016,0.005143907441946775,"{'LR__C': 3.3999927015362434, 'LR__class_weight': 'balanced'}",0.8696285848937796,0.003640956276232429,0.6112802694198949,0.007983139143671382,0.8981382978723405,0.005489299851210198,0.46332575573866713,0.007824680615646335,0.8667135303375954,0.009874308025382115,57,0.6012197435355215,0.024423076727000823,0.8797872340425531,0.03489621163161007,22,0.4568494724670746,0.021016683159298045,60
16,0.20921010971069337,0.039393413636661254,0.015103292465209962,0.0028959776076862794,"{'LR__C': 40.60519023862296, 'LR__class_weight': 'balanced'}",0.8698410279893791,0.003441539586556685,0.6119464712076815,0.007218007867373033,0.8992021276595745,0.004154388125482261,0.4638108089029173,0.007359237498964542,0.8667135303375954,0.009685838692362923,57,0.6012013939098522,0.02419264786556147,0.8797872340425531,0.03489621163161007,22,0.45681918340971334,0.02069912628221085,62
17,0.11993145942687988,0.015785578427123408,0.010472583770751952,0.00300347568743144,"{'LR__C': 0.11715350164470222, 'LR__class_weight': 'balanced'}",0.8680504914389857,0.003339146627083549,0.607989329798616,0.006764400716454559,0.8965425531914895,0.0029615767887393846,0.4599763246553863,0.007012582528764817,0.8663490105575893,0.01022258744789881,72,0.6009957523119931,0.021803550314917163,0.8808510638297872,0.03020227567357103,16,0.4564449048209361,0.02101090649096153,71
18,0.20692458152770996,0.026168360836650185,0.014741802215576172,0.003173372756547194,"{'LR__C': 21.01361947535864, 'LR__class_weight': 'balanced'}",0.8697499763437934,0.00340857351819771,0.6115685565449702,0.00713268497123415,0.8984042553191489,0.004085715823334366,0.46358866805045745,0.007282393881388264,0.8665921711142944,0.009484116006992682,65,0.6009648109209756,0.023756508458709972,0.8797872340425531,0.03489621163161007,22,0.45654376598017177,0.020219523630284935,69
19,0.2788266658782959,0.03311055905438849,0.012704420089721679,0.0035020972828857205,"{'LR__C': 3.8390374787015733, 'LR__class_weight': 'balanced'}",0.8696285756845509,0.0036652399810741007,0.6112811926780898,0.00802468145463982,0.8981382978723405,0.005489299851210198,0.4633272737621647,0.00787543805332275,0.866713456652578,0.01003823845995269,60,0.6009429930189741,0.024790805415198854,0.8787234042553191,0.03486376512377436,29,0.45681364572329,0.02135061232455303,63
19,0.2609013557434082,0.045474486899795934,0.011281919479370118,0.0041764669661526815,"{'LR__C': 3.8299164848707514, 'LR__class_weight': 'balanced'}",0.8696285756845509,0.0036652399810741007,0.6112811926780898,0.00802468145463982,0.8981382978723405,0.005489299851210198,0.4633272737621647,0.00787543805332275,0.866713456652578,0.01003823845995269,60,0.6009429930189741,0.024790805415198854,0.8787234042553191,0.03486376512377436,29,0.45681364572329,0.02135061232455303,63
21,0.11196894645690918,0.020392710449438873,0.015712404251098634,0.006968547624248766,"{'LR__C': 0.0695902595320163, 'LR__class_weight': 'balanced'}",0.8676559910983593,0.003239000285352301,0.6072015414841907,0.006703431165189958,0.8962765957446809,0.0037612062829071534,0.4591418011990805,0.006795782753478504,0.8663491579276237,0.009139957339920646,71,0.6008568315834053,0.01948421404491753,0.8808510638297872,0.03390931372448773,16,0.4563246025978911,0.018481369416005772,73
22,0.167343807220459,0.03286180623942157,0.01358480453491211,0.005296559076313602,"{'LR__C': 0.6211801526702758, 'LR__class_weight': 'balanced'}",0.8691733727119958,0.003377268955250896,0.6103702122694639,0.007532803088267481,0.897872340425532,0.00602967236635886,0.46234764748317236,0.007235622970962568,0.8661062921109872,0.010216003599745557,74,0.6004632209010066,0.02403810233205607,0.8808510638297872,0.03505799373039169,16,0.45576049012540637,0.021264218520841805,74
